Country,Data.Daily cigarettes,Data.Percentage.Male,Data.Percentage.Female,Data.Percentage.Total,Data.Smokers.Total,Data.Smokers.Female,Data.Smokers.Male
Andorra,19.9,26.6,31.5,22.0,17757,7542,10216
Antigua and Barbuda,38.9,3.4,5.0,1.9,2236,673,1563
Armenia,23.1,26.7,51.5,1.8,631086,20821,610265
Australia,20.1,16.3,17.8,14.7,2961263,1354856,1606407
Bahamas,24.7,10.1,16.0,4.6,29346,6875,22471
Bangladesh,3.0,22.4,42.9,1.4,24013742,750115,23263625
Bolivia,3.1,24.4,38.4,10.8,1660006,371434,1288572
Botswana,14.6,13.5,21.7,5.2,179346,34621,144725
Burundi,11.2,13.9,19.9,8.1,763740,225938,537802
Canada,27.6,14.5,16.5,12.6,4160166,1828543,2331623
Chile,9.2,28.6,32.1,25.2,3923926,1761515,2162411
China,22.3,24.9,46.5,2.2,281714540,12152644,269561883
Cote d'Ivoire,16.9,10.3,18.8,1.2,1194513,67625,1126888
Cyprus,29.3,31.6,46.9,17.5,233246,67272,165974
Czech Republic,24.6,23.6,28.5,19.0,2119660,873330,1246329
Dominica,11.6,5.5,8.4,2.7,2854,721,2133
El Salvador,17.4,9.2,17.2,2.4,401864,57349,344516
Ethiopia,6.2,3.7,6.6,0.8,1901237,205202,1696035
Guatemala,10.5,6.3,11.2,1.9,562527,89364,473162
Guinea,1.8,6.3,11.2,1.4,414557,47710,366846
Haiti,6.2,7.1,11.5,2.9,467615,99266,368348
Hungary,16.0,26.6,31.1,22.6,2275537,1028799,1246738
India,8.2,12.6,21.9,2.9,110190326,12168756,98021571
Ireland,23.2,24.3,24.8,23.8,868872,433431,435441
Kiribati,12.9,41.1,53.3,29.3,28010,10166,17844
Kuwait,21.8,24.4,37.0,3.1,594458,28557,565901
Malaysia,15.2,19.1,38.1,1.2,4085928,127663,3958265
Maldives,22.8,20.2,34.4,6.0,48450,7199,41251
Marshall Islands,20.1,17.7,30.3,4.9,7478,1020,6457
Mexico,11.8,9.9,15.4,4.9,8496024,2235847,6260177
Micronesia,21.1,24.3,37.3,10.9,16121,3542,12579
Montenegro,23.6,26.5,34.3,19.1,133211,49099,84112
Mozambique,5.4,11.0,19.4,3.4,1515245,241271,1273973
Namibia,5.6,14.6,21.6,8.3,209463,62150,147313
Nepal,5.5,23.8,34.5,14.3,4213365,1345180,2868185
Pakistan,15.8,15.4,25.7,4.6,18078040,2644928,15433113
Palestine,15.3,20.8,38.4,2.8,520680,34967,485714
Philippines,21.4,22.9,38.9,7.1,14470787,2263398,12207389
Saint Vincent and the Grenadines,81.6,9.0,15.8,2.2,7348,884,6464
Samoa,20.0,22.4,31.6,12.7,26316,7260,19056
Saudi Arabia,35.0,15.0,24.0,1.9,2978090,151983,2826107
Sierra Leone,4.5,17.6,29.5,6.0,614196,106531,507666
Singapore,18.1,13.1,22.9,3.8,422659,62902,359757
Slovenia,24.7,22.2,26.0,18.5,393481,165707,227773
Switzerland,22.5,19.8,22.3,17.4,1338689,600033,738656
Taiwan,32.4,17.4,31.4,3.5,3428743,348838,3079905
Turkmenistan,15.2,19.5,36.9,3.1,720159,59041,661118
Uganda,2.5,7.8,14.1,1.5,1456756,141007,1315749
United States,22.5,15.3,16.9,13.7,38325132,17655144,20669990
World,17.7,18.6,31.1,6.2,967313733,160033187,807280565
