Region,Year,Daily_Cigarettes,Percentage_Male_Smokers,Percentage_Female_Smokers,Percentage_Total_Smokers,Smokers_Total,Smokers_Female,Smokers_Male
Africa,1980,16.5,12.6,22.3,3.4,656343.0,81682.2,574660.7
Africa,1981,16.3,12.6,22.2,3.4,673523.7,83634.4,589889.1
Africa,1982,16.1,12.5,22.1,3.4,691436.1,85673.5,605762.5
Africa,1983,15.8,12.5,22.1,3.4,710244.2,87814.7,622429.4
Africa,1984,15.6,12.5,22.0,3.3,729311.4,90037.0,639274.4
Africa,1985,15.4,12.5,21.9,3.3,749128.2,92421.2,656706.9
Africa,1986,15.1,12.4,21.9,3.3,769574.4,94981.3,674593.2
Africa,1987,14.9,12.4,21.8,3.3,790687.4,97630.5,693057.0
Africa,1988,14.6,12.4,21.8,3.3,812449.7,100327.1,712122.6
Africa,1989,14.4,12.4,21.7,3.3,835048.4,103114.5,731934.0
Africa,1990,14.1,12.3,21.7,3.3,858863.2,106081.1,752782.3
Africa,1991,13.9,12.3,21.6,3.3,881823.4,108586.9,773236.5
Africa,1992,13.7,12.3,21.6,3.3,905285.5,110992.6,794292.9
Africa,1993,13.5,12.3,21.5,3.3,928419.0,113214.0,815205.2
Africa,1994,13.3,12.3,21.5,3.3,950367.0,115200.4,835166.5
Africa,1995,13.2,12.2,21.4,3.3,971196.0,116965.5,854230.4
Africa,1996,13.0,12.2,21.4,3.3,990746.3,118635.3,872110.9
Africa,1997,12.9,12.1,21.2,3.3,998361.2,117163.3,881198.0
Africa,1998,12.7,12.0,21.0,3.2,1008312.5,116149.6,892162.9
Africa,1999,12.7,11.8,20.9,3.1,1017842.9,115389.2,902453.7
Africa,2000,12.6,11.7,20.7,3.1,1028887.6,114944.0,913943.6
Africa,2001,12.5,11.6,20.5,3.0,1040108.3,114454.8,925653.6
Africa,2002,12.5,11.5,20.3,2.9,1050447.8,113721.6,936726.3
Africa,2003,12.5,11.3,20.1,2.8,1056929.2,113179.0,943750.2
Africa,2004,12.5,11.2,19.9,2.7,1062837.5,112252.9,950584.7
Africa,2005,12.5,11.1,19.7,2.6,1069713.5,111371.1,958342.4
Africa,2006,12.5,10.9,19.6,2.6,1081951.3,111648.0,970303.2
Africa,2007,12.5,10.9,19.5,2.5,1098073.1,112781.2,985291.8
Africa,2008,12.6,10.8,19.4,2.5,1119219.3,114064.0,1005155.3
Africa,2009,12.6,10.8,19.4,2.4,1144066.6,116262.2,1027804.4
Africa,2010,12.6,10.8,19.4,2.4,1171394.0,119114.8,1052279.2
Africa,2011,12.6,10.8,19.4,2.4,1203224.2,122147.5,1081076.8
Africa,2012,12.6,10.8,19.5,2.4,1237168.7,125748.9,1111419.8
Asia,1980,22.8,21.9,37.1,6.1,9359597.9,918933.2,8440664.7
Asia,1981,22.7,21.9,37.0,6.1,9666840.7,951079.1,8715761.3
Asia,1982,22.5,21.9,37.0,6.1,9978271.2,982126.9,8996144.0
Asia,1983,22.4,21.9,37.0,6.1,10289388.9,1011545.0,9277843.8
Asia,1984,22.3,21.8,37.0,6.1,10597811.3,1038679.7,9559131.5
Asia,1985,22.2,21.8,37.0,6.1,10858093.8,1047698.8,9810395.2
Asia,1986,22.1,21.7,36.9,6.0,11107924.1,1052998.7,10054925.3
Asia,1987,22.0,21.7,36.8,6.0,11350374.5,1056459.6,10293915.0
Asia,1988,21.7,21.6,36.8,6.0,11588941.5,1059079.3,10529862.7
Asia,1989,21.5,21.7,36.8,6.0,11823307.6,1061692.0,10761615.8
Asia,1990,21.2,21.7,36.9,6.0,12051485.1,1064627.7,10986857.6
Asia,1991,21.0,21.7,36.9,6.0,12277119.2,1068004.1,11209114.9
Asia,1992,20.7,21.7,36.9,6.0,12504977.9,1072236.0,11432741.9
Asia,1993,20.4,21.8,36.9,6.0,12737621.1,1079227.1,11658394.5
Asia,1994,20.1,21.7,36.8,6.0,12944209.8,1080482.5,11863727.3
Asia,1995,19.9,21.6,36.6,6.0,13157035.0,1088550.3,12068484.4
Asia,1996,19.7,21.5,36.4,6.0,13375221.5,1103278.3,12271943.6
Asia,1997,19.7,21.3,36.1,5.9,13479265.1,1111582.7,12367682.6
Asia,1998,19.7,21.0,35.7,5.8,13567116.3,1121486.5,12445629.1
Asia,1999,19.8,20.7,35.4,5.6,13630778.6,1127808.6,12502969.7
Asia,2000,19.9,20.4,35.0,5.5,13627869.4,1128530.3,12499338.8
Asia,2001,19.9,20.2,34.6,5.4,13624397.1,1123334.1,12501063.0
Asia,2002,19.9,19.9,34.3,5.2,13632345.8,1123952.9,12508393.4
Asia,2003,19.9,19.7,33.9,5.1,13689282.9,1134216.8,12555066.1
Asia,2004,19.8,19.5,33.6,5.1,13760235.3,1141504.0,12618731.1
Asia,2005,19.7,19.4,33.3,5.0,13795437.4,1142141.6,12653295.6
Asia,2006,19.6,19.2,33.1,4.9,13811091.3,1138728.6,12672363.2
Asia,2007,19.4,19.1,32.9,4.8,13798542.9,1133236.2,12665306.5
