Country,Year,Data.Daily cigarettes,Data.Percentage.Male,Data.Percentage.Female,Data.Percentage.Total,Data.Smokers.Total,Data.Smokers.Female,Data.Smokers.Male
Andorra,2012,19.9,26.6,31.5,22.0,17757,7542,10216
Antigua and Barbuda,2012,38.900002,3.4000001,5.0,1.9,2236,673,1563
Armenia,2012,23.1,26.700001,51.5,1.8,631086,20821,610265
Australia,2012,20.1,16.299999,17.799999,14.7,2961263,1354856,1606407
Bahamas,2012,24.700001,10.1,16.0,4.5999999,29346,6875,22471
Bangladesh,2012,3.0,22.4,42.900002,1.4,24013742,750115,23263625
Bolivia,2012,3.0999999,24.4,38.400002,10.8,1660006,371434,1288572
Botswana,2012,14.6,13.5,21.700001,5.1999998,179346,34621,144725
Burundi,2012,11.2,13.9,19.9,8.1000004,763740,225938,537802
Canada,2012,27.6,14.5,16.5,12.6,4160166,1828543,2331623
Chile,2012,9.1999998,28.6,32.099998,25.200001,3923926,1761515,2162411
China,2012,22.299999,24.9,46.5,2.2,281714540,12152644,269561883
Cote d'Ivoire,2012,16.9,10.3,18.799999,1.2,1194513,67625,1126888
Cyprus,2012,29.299999,31.6,46.900002,17.5,233246,67272,165974
Czech Republic,2012,24.6,23.6,28.5,19.0,2119660,873330,1246329
Dominica,2012,11.6,5.5,8.3999996,2.7,2854,721,2133
El Salvador,2012,17.4,9.1999998,17.200001,2.4000001,401864,57349,344516
Ethiopia,2012,6.1999998,3.7,6.5999999,0.80000001,1901237,205202,1696035
Guatemala,2012,10.5,6.3000002,11.2,1.9,562527,89364,473162
Guinea,2012,1.8,6.3000002,11.2,1.4,414557,47710,366846
Haiti,2012,6.1999998,7.0999999,11.5,2.9000001,467615,99266,368348
Hungary,2012,16.0,26.6,31.1,22.6,2275537,1028799,1246738
India,2012,8.1999998,12.6,21.9,2.9000001,110190326,12168756,98021571
Ireland,2012,23.200001,24.299999,24.799999,23.799999,868872,433431,435441
Kiribati,2012,12.9,41.099998,53.299999,29.299999,28010,10166,17844
Kuwait,2012,21.799999,24.4,37.0,3.0999999,594458,28557,565901
Malaysia,2012,15.2,19.1,38.099998,1.2,4085928,127663,3958265
Maldives,2012,22.799999,20.200001,34.400002,6.0,48450,7199,41251
Marshall Islands,2012,20.1,17.700001,30.299999,4.9000001,7478,1020,6457
Mexico,2012,11.8,9.8999996,15.4,4.9000001,8496024,2235847,6260177
Micronesia,2012,21.1,24.299999,37.299999,10.9,16121,3542,12579
Montenegro,2012,23.6,26.5,34.299999,19.1,133211,49099,84112
Mozambique,2012,5.4000001,11.0,19.4,3.4000001,1515245,241271,1273973
Namibia,2012,5.5999999,14.6,21.6,8.3000002,209463,62150,147313
Nepal,2012,5.5,23.799999,34.5,14.3,4213365,1345180,2868185
Pakistan,2012,15.8,15.4,25.700001,4.5999999,18078040,2644928,15433113
Palestine,2012,15.3,20.799999,38.400002,2.8,520680,34967,485714
Philippines,2012,21.4,22.9,38.900002,7.0999999,14470787,2263398,12207389
Saint Vincent and the Grenadines,2012,81.599998,9.0,15.8,2.2,7348,884,6464
Samoa,2012,20.0,22.4,31.6,12.7,26316,7260,19056
Saudi Arabia,2012,35.0,15.0,24.0,1.9,2978090,151983,2826107
Sierra Leone,2012,4.5,17.6,29.5,6.0,614196,106531,507666
Singapore,2012,18.1,13.1,22.9,3.8,422659,62902,359757
Slovenia,2012,24.700001,22.200001,26.0,18.5,393481,165707,227773
Switzerland,2012,22.5,19.799999,22.299999,17.4,1338689,600033,738656
Taiwan,2012,32.400002,17.4,31.4,3.5,3428743,348838,3079905
Turkmenistan,2012,15.2,19.5,36.900002,3.0999999,720159,59041,661118
Uganda,2012,2.5,7.8000002,14.1,1.5,1456756,141007,1315749
United States,2012,22.5,15.3,16.9,13.7,38325132,17655144,20669990
World,2012,17.700001,18.6,31.1,6.1999998,967313733,160033187,807280565
